57,29,29,36
82,58,59,72
98,87,89,108
113,116,119,145
129,145,149,181
145,174,179,217
160,204,209,253
176,233,239,290
191,262,269,326
207,291,299,362
223,320,329,399
238,349,359,435
253,378,389,471
270,408,419,507
285,437,449,544
301,466,479,580
316,495,509,616
332,524,539,652
348,553,569,689
363,583,599,725
379,583,599,725
395,582,599,725
410,582,599,725
425,582,599,725
442,582,599,725
457,582,599,725
473,582,599,725
488,582,599,725
504,582,599,725
521,582,599,725
538,582,599,725
557,582,599,725
574,582,599,725
591,582,599,725
609,582,599,725
627,582,599,725
645,582,599,725
662,582,599,725
679,582,599,725
698,582,599,725
715,582,599,725
733,583,599,725
750,583,599,725
769,583,599,725
786,583,599,725
803,583,599,725
821,583,599,725
839,583,599,725
857,583,599,725
874,583,599,725
892,583,599,725
910,583,599,725
927,583,599,725
945,583,599,725
963,583,599,725
980,583,599,725
998,583,599,725
1015,583,599,725
1040,583,599,725
1070,583,599,725
1085,583,599,725
1103,583,599,725
1119,583,599,725
1134,583,599,725
1150,583,599,725
1166,583,599,725
1184,583,599,725
1203,583,599,725
1221,583,599,725
1241,583,599,725
1259,583,599,725
1277,583,599,725
1297,583,599,725
1315,583,599,725
1334,583,599,725
1352,583,599,725
1372,583,599,725
1390,583,599,725
1409,583,599,725
1427,583,599,725
1446,583,599,725
1465,583,599,725
1483,583,599,725
1503,583,599,725
1521,583,599,725
1540,583,599,725
1558,583,599,725
1577,583,599,725
1596,583,599,725
1614,583,599,725
1634,583,599,725
1652,583,599,725
1671,583,599,725
1689,583,599,725
1709,583,599,725
1727,583,599,725
1745,583,599,725
1765,583,599,725
1783,583,599,725
1802,583,599,725
1820,583,599,725
1840,583,599,725
1858,583,599,725
1876,583,599,725
1896,583,599,725
1914,583,599,725
1933,583,599,725
1951,583,599,725
1971,583,599,725
1989,583,599,725
2008,583,599,725
2026,583,599,725
2045,583,599,725
2064,583,599,725
2082,583,599,725
2102,583,599,725
2120,583,599,725
2139,583,599,725
2157,583,599,725
2177,583,599,725
2195,583,599,725
2213,583,599,725
2233,583,599,725
2251,583,599,725
2270,583,599,725
2288,583,599,725
2308,583,599,725
2326,583,599,725
2344,583,599,725
2364,583,599,725
2382,583,599,725
2401,582,599,725
2419,582,599,725
2439,582,599,725
2457,582,599,725
2476,582,599,725
2495,582,599,725
2513,582,599,725
2532,582,599,725
2550,582,599,725
2570,582,599,725
2588,582,599,725
2607,581,599,725
2625,577,599,725
2644,572,599,725
2663,566,599,725
2681,558,599,725
2701,550,599,725
2719,541,599,725
2738,532,599,725
2756,523,599,725
2776,513,599,725
2794,504,599,725
2812,493,599,725
2832,482,599,725
2850,471,599,725
2869,459,599,725
2887,446,599,725
2907,433,599,725
2925,420,599,725
2944,406,599,725
2963,393,599,725
